solver,data,seconds
UnitPropagationSolver,/../data/php/php-1-2.cnf,0.00
UnitPropagationSolver,/../data/php/php-2-3.cnf,0.00
UnitPropagationSolver,/../data/php/php-3-4.cnf,0.00
UnitPropagationSolver,/../data/php/php-4-5.cnf,0.01
UnitPropagationSolver,/../data/php/php-5-6.cnf,0.00
UnitPropagationSolver,/../data/php/php-6-7.cnf,0.01
UnitPropagationSolver,/../data/php/php-7-8.cnf,8.19
UnitPropagationSolver,/../data/php/php-8-9.cnf,33.94
UnitPropagationSolver,/../data/php/php-9-10.cnf,61.63
UnitPropagationSolver,/../data/php/php-10-11.cnf,170.23
UnitPropagationSolver,/../data/php/php-11-12.cnf,342.38
UnitPropagationSolver,/../data/php/php-12-13.cnf,808.49
UnitPropagationSolver,/../data/php/php-13-14.cnf,1,475.28
UnitPropagationSolver,/../data/php/php-14-15.cnf,2,573.67
UnitPropagationSolver,/../data/php/php-15-16.cnf,4,716.20
UnitPropagationSolver,/../data/kcnf/kcnf-10-45.cnf,0.01
UnitPropagationSolver,/../data/kcnf/kcnf-20-55.cnf,0.17
UnitPropagationSolver,/../data/kcnf/kcnf-30-65.cnf,0.38
UnitPropagationSolver,/../data/kcnf/kcnf-40-75.cnf,0.00
UnitPropagationSolver,/../data/kcnf/kcnf-50-85.cnf,2.84
UnitPropagationSolver,/../data/kcnf/kcnf-60-95.cnf,0.01
BruteSolver,/../data/php/php-1-2.cnf,0.00
BruteSolver,/../data/php/php-2-3.cnf,0.00
BruteSolver,/../data/php/php-3-4.cnf,0.00
BruteSolver,/../data/php/php-4-5.cnf,1.58
BruteSolver,/../data/php/php-5-6.cnf,1,950.74
BruteSolver,/../data/kcnf/kcnf-10-45.cnf,0.00
BruteSolver,/../data/kcnf/kcnf-20-55.cnf,0.77
BruteSolver,/../data/kcnf/kcnf-30-65.cnf,6.58
BruteSolver,/../data/kcnf/kcnf-40-75.cnf,15.86
